0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,0,13,13,55,385,685,1140,1936,1965,2220,3549,4359,6468,7516,9348,11420,14180,17939,22807,27044,30909,35195,39566,45362,51046,57569,64045,73597
0,0,0,1,1,9,34,67,108,172,176,201,257,284,384,447,642,849,1079,1370,1679,1996,2228,2452,2638,2983,3303,3647,4068,4660
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,12,13,13,17,23,25,27,28,28,31,38,43,48
0,0,0,0,0,0,1,3,14,25,26,27,31,33,45,60,74,87,109,143,169,207,260,302,375,477,579,646,719,843
0,0,0,0,0,0,2,2,2,2,2,6,6,6,12,12,16,26,45,76,115,170,214,247,329,377,447,480,582,644
0,0,0,2,2,6,41,91,169,309,318,353,536,575,768,876,1074,1326,1668,2105,2586,3059,3585,4088,4654,5366,6053,6680,7573,8801
0,0,0,0,0,0,0,0,4,4,4,4,5,7,7,7,11,11,12,15,21,39,70,84,100,108,123,125,164,203
0,0,0,0,0,2,4,8,22,37,38,44,56,60,87,101,118,130,159,194,246,287,312,350,389,462,552,615,680,782
0,0,0,0,0,0,6,15,29,57,57,60,100,120,179,225,294,363,451,596,736,902,1114,1332,1511,1723,1966,2251,2621,3049
0,0,0,5,5,45,124,300,578,1122,1143,1356,2016,2353,3276,3969,5020,6107,7778,9635,11772,13899,16100,18617,20921,23981,27337,30292,34212,39340
0,0,0,0,0,0,0,0,1,3,3,5,7,10,20,23,28,45,65,93,113,141,189,216,250,285,316,356,394,478
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,9,15,19,19,19,19,21
0,0,0,0,0,4,11,21,49,77,78,96,145,183,287,339,438,567,674,887,1180,1383,1572,1806,2014,2393,2727,3038,3431,3919
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12,17,19,29,35,42,50,55,71,73,77,88,89,112
0,0,0,0,0,1,5,18,38,57,57,60,89,95,137,157,205,239,305,377,447,558,664,743,833,974,1096,1215,1392,1634
0,0,0,0,0,0,0,0,3,3,3,3,33,93,110,112,158,175,251,344,544,670,904,1121,1191,1266,1327,1399,1548,1663
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6,6,6,8,8,16,16,28
0,0,0,2,2,19,109,247,490,852,876,977,1408,1584,2117,2367,2808,3368,4227,5093,6344,7601,8670,9619,10522,11828,13082,14389,15917,18239
0,0,0,0,0,1,3,6,10,13,13,14,16,16,17,22,32,65,102,119,137,154,174,182,213,240,250,283,325,385
0,0,0,0,0,2,12,16,28,73,76,78,137,176,250,274,323,409,486,613,759,910,1042,1189,1298,1448,1631,1776,1975,2182
0,0,0,0,0,0,0,0,3,4,4,5,5,11,19,22,24,26,36,54,61,68,75,92,114,128,141,158,191,209
0,0,0,7,7,14,146,242,396,603,621,660,939,1040,1564,1712,1904,2164,2494,3068,3781,4275,4723,5232,5803,6528,7213,7934,8822,9923
0,0,0,0,0,0,0,0,1,1,1,2,2,2,9,12,16,19,25,25,40,61,71,82,89,105,115,124,128,143
0,0,0,0,0,3,3,4,4,4,4,4,4,5,5,5,8,11,17,30,37,49,54,63,66,79,89,99,111,119
0,0,0,2,2,2,5,10,27,56,60,71,102,132,256,301,363,423,516,710,898,1028,1225,1378,1491,1694,1883,2113,2351,2679
0,0,0,9,9,12,150,201,245,392,406,549,817,1019,1463,1777,2151,2477,2893,3367,3961,4597,4951,5368,5744,6143,6570,7177,7620,8273
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,6,6,7,7,13,15,16
0,0,0,3,3,7,53,79,94,187,191,221,384,464,717,796,941,1148,1396,1799,2307,2732,3125,3539,3939,4444,4990,5386,5852,6495
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,6,6,6,9,12,16,33,40
0,0,0,0,0,0,1,10,11,13,13,14,23,24,33,35,63,88,96,137,177,235,270,303,333,394,465,514,617,761
0,0,0,0,0,0,7,23,48,69,69,117,429,627,1357,1472,1602,1849,2102,2801,3544,3919,4118,4294,4406,4487,4572,4777,5105,5364
0,0,0,0,0,5,5,5,6,6,6,11,42,58,74,87,94,112,165,179,196,204,221,274,316,348,368,401,413,431
0,0,0,0,0,0,0,1,4,6,6,24,35,80,91,101,114,131,189,213,238,311,401,446,483,518,552,566,638,690
0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,12,12,12,18,20,20,32,36,40,47,48,54
0,0,0,0,0,0,0,2,10,12,13,13,16,24,57,69,92,117,139,160,170,192,222,257,285,309,341,367,390,422
0,0,0,0,0,0,0,0,2,2,2,2,2,2,13,13,14,26,75,77,88,92,113,121,124,130,132,151,175,186
0,0,0,0,0,3,5,9,21,27,27,30,35,39,48,49,62,74,82,102,140,193,295,375,421,505,550,586,630,791
0,0,0,0,0,2,2,4,5,6,6,6,6,6,9,10,22,39,69,88,95,97,111,119,124,135,144,157,160,179
0,0,0,0,0,1,1,3,6,7,7,7,8,10,11,12,13,15,15,16,24,24,24,37,41,64,69,76,85,106
0,0,0,1,1,9,47,97,209,318,334,364,444,468,581,681,796,965,1179,1482,1788,2152,2498,2828,3190,3735,4358,4873,5494,6471
0,0,0,0,0,0,0,26,26,26,26,26,26,28,36,44,56,63,73,80,88,118,156,164,169,188,259,306,322,399
0,0,0,0,0,0,0,2,2,3,3,3,5,5,11,14,19,31,51,79,120,138,147,187,201,201,209,215,226,238
0,0,0,0,0,0,0,0,0,1,2,3,10,10,13,22,24,27,31,34,71,91,95,105,121,163,212,249,265,302
0,0,0,4,4,5,10,12,21,57,57,57,197,244,368,408,493,605,698,819,1056,1210,1348,1462,1604,1729,1839,2186,2425,2756
0,0,0,1,1,5,7,18,53,109,111,111,152,155,194,216,257,296,382,473,566,723,852,1034,1201,1477,1776,2030,2402,2969
0,0,0,0,0,0,1,4,7,17,17,18,33,40,60,78,133,183,262,308,437,560,688,804,960,1086,1224,1384,1677,1911
0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,18,29,41,42,47,48,50,52,52,52,52,55,63
0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,6,42,51,76,132,162,168,172,176,193,212,235,261,300,329
0,0,0,0,0,0,3,7,12,21,21,25,30,33,50,62,74,94,111,139,174,216,247,277,320,396,448,502,565,661
0,0,0,0,0,0,0,0,0,3,3,4,13,18,28,37,60,82,104,123,167,190,221,256,279,312,335,387,424,514
0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,11,11,14,26,29,29,29,31,53,58,63,64,75,101,104
0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,14,14,15,17,21,21,23,23,27,32,32,51,64
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,6,8,11,14,17,18,20,22,23,26,34,46
0,0,0,2,2,5,24,38,54,92,96,100,134,142,174,185,215,265,316,376,443,504,617,700,805,968,1075,1258,1398,1591
0,0,0,0,0,0,4,10,12,22,22,22,22,22,24,29,40,41,46,52,55,59,89,113,146,152,159,160,172,193
0,0,0,0,0,0,0,0,3,3,3,4,5,5,5,10,26,34,34,44,49,56,71,90,107,155,184,220,233,258
0,0,0,1,1,8,46,110,157,321,329,348,457,509,656,832,1087,1226,1394,1792,2041,2390,2689,3158,3519,4034,4503,5021,5587,6343
0,0,0,0,0,4,34,38,45,118,118,118,192,224,253,304,347,370,453,547,663,787,892,1052,1153,1296,1372,1527,1831,1916
0,0,0,0,0,0,0,2,12,20,20,28,40,46,57,66,119,253,325,387,455,500,567,671,755,858,907,999,1114,1184
0,0,0,0,0,0,0,0,3,14,14,15,27,30,72,83,92,119,155,197,257,296,332,432,493,561,599,687,861,955
0,0,0,0,0,0,0,3,7,9,9,11,16,19,33,40,66,72,110,114,150,167,320,367,415,477,553,616,661,721
0,0,0,0,0,0,2,5,9,10,10,41,46,114,128,141,162,200,283,325,369,444,471,514,587,596,622,650,688,741
0,0,0,0,0,0,0,0,1,4,4,6,8,17,37,43,49,100,118,149,168,201,245,287,337,411,464,490,543,655
0,0,0,0,0,0,11,14,29,92,92,93,159,173,268,329,439,531,625,820,1056,1210,1317,1511,1688,1977,2159,2414,2685,3014
0,0,0,0,0,0,0,1,3,7,7,7,11,14,29,36,48,61,98,116,144,186,215,250,289,363,411,505,603,755
0,0,0,6,6,9,43,51,64,162,162,205,406,525,964,1061,1369,1590,1864,2401,3023,3378,3644,4038,4380,4754,5042,5398,5761,6331
0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,9,11,15,16,27,36,61,82,111,120,158,170,179,241,295
0,0,0,2,2,2,8,8,8,18,18,28,42,83,158,223,307,406,480,583,663,774,852,912,941,1017,1046,1130,1170,1222
0,0,0,0,0,0,0,4,6,13,13,14,17,17,20,20,25,35,44,60,83,107,137,164,205,243,273,285,313,361
0,0,0,0,0,0,3,11,11,13,14,16,26,27,34,44,64,81,137,175,184,199,225,306,347,384,427,479,502,588
